--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	\"김해를                    	0.8810
./temp\1.jpg             	아름답게                     	0.9811
./temp\2.jpg             	시민을                      	0.9979
./temp\3.jpg             	행복하게.\"                  	0.9140
./temp\4.jpg             	gimhae                   	0.9159
./temp\5.jpg             	김해시                      	0.9983
./temp\6.jpg             	수신자                      	0.9978
./temp\7.jpg             	받는곳                      	0.9781
./temp\8.jpg             	참조                       	0.9887
./temp\9.jpg             	(경유)                     	0.9977
./temp\10.jpg            	제목                       	0.9981
./temp\11.jpg            	건축물의                     	0.9990
./temp\12.jpg            	건축(증축)허가                 	0.9687
./temp\13.jpg            	사항                       	0.9986
./temp\14.jpg            	통보                       	0.9989
./temp\15.jpg            	우리시                      	0.9993
./temp\16.jpg            	관내                       	0.9980
./temp\17.jpg            	붙임과                      	0.9987
./temp\18.jpg            	같은                       	0.9960
./temp\19.jpg            	건축허가                     	0.9988
./temp\20.jpg            	사항이                      	0.9973
./temp\21.jpg            	있어                       	0.9934
./temp\22.jpg            	알려드리오니                   	0.9738
./temp\23.jpg            	관련업무                     	0.9776
./temp\24.jpg            	추진에                      	0.9899
./temp\25.jpg            	차질                       	0.9708
./temp\26.jpg            	이                        	0.9992
./temp\27.jpg            	없으시기                     	0.9912
./temp\28.jpg            	바랍니다.                    	0.7999
./temp\29.jpg            	덧붙임                      	0.9641
./temp\30.jpg            	건축허가서                    	0.9970
./temp\31.jpg            	사본                       	0.9988
./temp\32.jpg            	1부                       	0.9997
./temp\33.jpg            	끝                        	0.9989
./temp\34.jpg            	김해시                      	0.9904
./temp\35.jpg            	수신자                      	0.9979
./temp\36.jpg            	세무과장                     	0.9964
./temp\37.jpg            	전결                       	0.9988
./temp\38.jpg            	지방건축주사보                  	0.9912
./temp\39.jpg            	최석문                      	0.9537
./temp\40.jpg            	지방건축주사                   	0.9949
./temp\41.jpg            	허가과장                     	0.9988
./temp\42.jpg            	협조자                      	0.9977
./temp\43.jpg            	시행                       	0.9992
./temp\44.jpg            	허가과                      	0.9989
./temp\45.jpg            	4152                     	0.9770
./temp\46.jpg            	(2005.3.                 	0.6033
./temp\47.jpg            	15)                      	0.9453
./temp\48.jpg            	접수                       	0.9987
./temp\49.jpg            	621-701                  	0.9944
./temp\50.jpg            	김해시                      	0.9992
./temp\51.jpg            	부원동                      	0.9992
./temp\52.jpg            	623번지                    	0.9985
./temp\53.jpg            	전화                       	0.9989
./temp\54.jpg            	055-330-3708             	0.9828
./temp\55.jpg            	전송                       	0.9996
./temp\56.jpg            	055-330-3689             	0.9829
./temp\57.jpg            	cnoi                     	0.0582
./temp\58.jpg            	maae                     	0.8178
./temp\59.jpg            	go                       	0.7268
./temp\60.jpg            	kr                       	0.8418
./temp\61.jpg            	부분공개                     	0.9793
./temp\62.jpg            	maae                     	0.8178
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	\"김해를                    	0.8810
./temp\1.jpg             	아름답게                     	0.9811
./temp\2.jpg             	시민을                      	0.9979
./temp\3.jpg             	행복하게.\"                  	0.9140
./temp\4.jpg             	gimhae                   	0.9159
./temp\5.jpg             	김해시                      	0.9983
./temp\6.jpg             	수신자                      	0.9978
./temp\7.jpg             	받는곳                      	0.9781
./temp\8.jpg             	참조                       	0.9887
./temp\9.jpg             	(경유)                     	0.9977
./temp\10.jpg            	제목                       	0.9981
./temp\11.jpg            	건축물의                     	0.9990
./temp\12.jpg            	건축(증축)허가                 	0.9687
./temp\13.jpg            	사항                       	0.9986
./temp\14.jpg            	통보                       	0.9989
./temp\15.jpg            	우리시                      	0.9993
./temp\16.jpg            	관내                       	0.9980
./temp\17.jpg            	붙임과                      	0.9987
./temp\18.jpg            	같은                       	0.9960
./temp\19.jpg            	건축허가                     	0.9988
./temp\20.jpg            	사항이                      	0.9973
./temp\21.jpg            	있어                       	0.9934
./temp\22.jpg            	알려드리오니                   	0.9738
./temp\23.jpg            	관련업무                     	0.9776
./temp\24.jpg            	추진에                      	0.9899
./temp\25.jpg            	차질                       	0.9708
./temp\26.jpg            	이                        	0.9992
./temp\27.jpg            	없으시기                     	0.9912
./temp\28.jpg            	바랍니다.                    	0.7999
./temp\29.jpg            	덧붙임                      	0.9641
./temp\30.jpg            	건축허가서                    	0.9970
./temp\31.jpg            	사본                       	0.9988
./temp\32.jpg            	1부                       	0.9997
./temp\33.jpg            	끝                        	0.9989
./temp\34.jpg            	김해시                      	0.9904
./temp\35.jpg            	수신자                      	0.9979
./temp\36.jpg            	세무과장                     	0.9964
./temp\37.jpg            	전결                       	0.9988
./temp\38.jpg            	지방건축주사보                  	0.9912
./temp\39.jpg            	최석문                      	0.9537
./temp\40.jpg            	지방건축주사                   	0.9949
./temp\41.jpg            	허가과장                     	0.9988
./temp\42.jpg            	협조자                      	0.9977
./temp\43.jpg            	시행                       	0.9992
./temp\44.jpg            	허가과                      	0.9989
./temp\45.jpg            	4152                     	0.9770
./temp\46.jpg            	(2005.3.                 	0.6033
./temp\47.jpg            	15)                      	0.9453
./temp\48.jpg            	접수                       	0.9987
./temp\49.jpg            	621-701                  	0.9944
./temp\50.jpg            	김해시                      	0.9992
./temp\51.jpg            	부원동                      	0.9992
./temp\52.jpg            	623번지                    	0.9985
./temp\53.jpg            	전화                       	0.9989
./temp\54.jpg            	055-330-3708             	0.9828
./temp\55.jpg            	전송                       	0.9996
./temp\56.jpg            	055-330-3689             	0.9829
./temp\57.jpg            	cnoi                     	0.0582
./temp\58.jpg            	maae                     	0.8178
./temp\59.jpg            	go                       	0.7268
./temp\60.jpg            	kr                       	0.8418
./temp\61.jpg            	부분공개                     	0.9793
./temp\62.jpg            	maae                     	0.8178
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	\"김해를                    	0.8810
./temp\1.jpg             	아름답게                     	0.9811
./temp\2.jpg             	시민을                      	0.9979
./temp\3.jpg             	행복하게.\"                  	0.9140
./temp\4.jpg             	gimhae                   	0.9159
./temp\5.jpg             	김해시                      	0.9983
./temp\6.jpg             	수신자                      	0.9978
./temp\7.jpg             	받는곳                      	0.9781
./temp\8.jpg             	참조                       	0.9887
./temp\9.jpg             	(경유)                     	0.9977
./temp\10.jpg            	제목                       	0.9981
./temp\11.jpg            	건축물의                     	0.9990
./temp\12.jpg            	건축(증축)허가                 	0.9687
./temp\13.jpg            	사항                       	0.9986
./temp\14.jpg            	통보                       	0.9989
./temp\15.jpg            	우리시                      	0.9993
./temp\16.jpg            	관내                       	0.9980
./temp\17.jpg            	붙임과                      	0.9987
./temp\18.jpg            	같은                       	0.9960
./temp\19.jpg            	건축허가                     	0.9988
./temp\20.jpg            	사항이                      	0.9973
./temp\21.jpg            	있어                       	0.9934
./temp\22.jpg            	알려드리오니                   	0.9738
./temp\23.jpg            	관련업무                     	0.9776
./temp\24.jpg            	추진에                      	0.9899
./temp\25.jpg            	차질                       	0.9708
./temp\26.jpg            	이                        	0.9992
./temp\27.jpg            	없으시기                     	0.9912
./temp\28.jpg            	바랍니다.                    	0.7999
./temp\29.jpg            	덧붙임                      	0.9641
./temp\30.jpg            	건축허가서                    	0.9970
./temp\31.jpg            	사본                       	0.9988
./temp\32.jpg            	1부                       	0.9997
./temp\33.jpg            	끝                        	0.9989
./temp\34.jpg            	김해시                      	0.9904
./temp\35.jpg            	수신자                      	0.9979
./temp\36.jpg            	세무과장                     	0.9964
./temp\37.jpg            	전결                       	0.9988
./temp\38.jpg            	지방건축주사보                  	0.9912
./temp\39.jpg            	최석문                      	0.9537
./temp\40.jpg            	지방건축주사                   	0.9949
./temp\41.jpg            	허가과장                     	0.9988
./temp\42.jpg            	협조자                      	0.9977
./temp\43.jpg            	시행                       	0.9992
./temp\44.jpg            	허가과                      	0.9989
./temp\45.jpg            	4152                     	0.9770
./temp\46.jpg            	(2005.3.                 	0.6033
./temp\47.jpg            	15)                      	0.9453
./temp\48.jpg            	접수                       	0.9987
./temp\49.jpg            	621-701                  	0.9944
./temp\50.jpg            	김해시                      	0.9992
./temp\51.jpg            	부원동                      	0.9992
./temp\52.jpg            	623번지                    	0.9985
./temp\53.jpg            	전화                       	0.9989
./temp\54.jpg            	055-330-3708             	0.9828
./temp\55.jpg            	전송                       	0.9996
./temp\56.jpg            	055-330-3689             	0.9829
./temp\57.jpg            	cnoi                     	0.0582
./temp\58.jpg            	maae                     	0.8178
./temp\59.jpg            	go                       	0.7268
./temp\60.jpg            	kr                       	0.8418
./temp\61.jpg            	부분공개                     	0.9793
./temp\62.jpg            	maae                     	0.8178
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	\"김해를                    	0.8810
./temp\1.jpg             	아름답게                     	0.9811
./temp\2.jpg             	시민을                      	0.9979
./temp\3.jpg             	행복하게.\"                  	0.9140
./temp\4.jpg             	gimhae                   	0.9159
./temp\5.jpg             	김해시                      	0.9983
./temp\6.jpg             	수신자                      	0.9978
./temp\7.jpg             	받는곳                      	0.9781
./temp\8.jpg             	참조                       	0.9887
./temp\9.jpg             	(경유)                     	0.9977
./temp\10.jpg            	제목                       	0.9981
./temp\11.jpg            	건축물의                     	0.9990
./temp\12.jpg            	건축(증축)허가                 	0.9687
./temp\13.jpg            	사항                       	0.9986
./temp\14.jpg            	통보                       	0.9989
./temp\15.jpg            	우리시                      	0.9993
./temp\16.jpg            	관내                       	0.9980
./temp\17.jpg            	붙임과                      	0.9987
./temp\18.jpg            	같은                       	0.9960
./temp\19.jpg            	건축허가                     	0.9988
./temp\20.jpg            	사항이                      	0.9973
./temp\21.jpg            	있어                       	0.9934
./temp\22.jpg            	알려드리오니                   	0.9738
./temp\23.jpg            	관련업무                     	0.9776
./temp\24.jpg            	추진에                      	0.9899
./temp\25.jpg            	차질                       	0.9708
./temp\26.jpg            	이                        	0.9992
./temp\27.jpg            	없으시기                     	0.9912
./temp\28.jpg            	바랍니다.                    	0.7999
./temp\29.jpg            	덧붙임                      	0.9641
./temp\30.jpg            	건축허가서                    	0.9970
./temp\31.jpg            	사본                       	0.9988
./temp\32.jpg            	1부                       	0.9997
./temp\33.jpg            	끝                        	0.9989
./temp\34.jpg            	김해시                      	0.9904
./temp\35.jpg            	수신자                      	0.9979
./temp\36.jpg            	세무과장                     	0.9964
./temp\37.jpg            	전결                       	0.9988
./temp\38.jpg            	지방건축주사보                  	0.9912
./temp\39.jpg            	최석문                      	0.9537
./temp\40.jpg            	지방건축주사                   	0.9949
./temp\41.jpg            	허가과장                     	0.9988
./temp\42.jpg            	협조자                      	0.9977
./temp\43.jpg            	시행                       	0.9992
./temp\44.jpg            	허가과                      	0.9989
./temp\45.jpg            	4152                     	0.9770
./temp\46.jpg            	(2005.3.                 	0.6033
./temp\47.jpg            	15)                      	0.9453
./temp\48.jpg            	접수                       	0.9987
./temp\49.jpg            	621-701                  	0.9944
./temp\50.jpg            	김해시                      	0.9992
./temp\51.jpg            	부원동                      	0.9992
./temp\52.jpg            	623번지                    	0.9985
./temp\53.jpg            	전화                       	0.9989
./temp\54.jpg            	055-330-3708             	0.9828
./temp\55.jpg            	전송                       	0.9996
./temp\56.jpg            	055-330-3689             	0.9829
./temp\57.jpg            	cnoi                     	0.0582
./temp\58.jpg            	maae                     	0.8178
./temp\59.jpg            	go                       	0.7268
./temp\60.jpg            	kr                       	0.8418
./temp\61.jpg            	부분공개                     	0.9793
./temp\62.jpg            	maae                     	0.8178
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	\"김해를                    	0.8810
./temp\1.jpg             	아름답게                     	0.9811
./temp\2.jpg             	시민을                      	0.9979
./temp\3.jpg             	행복하게.\"                  	0.9140
./temp\4.jpg             	gimhae                   	0.9159
./temp\5.jpg             	김해시                      	0.9983
./temp\6.jpg             	수신자                      	0.9978
./temp\7.jpg             	받는곳                      	0.9781
./temp\8.jpg             	참조                       	0.9887
./temp\9.jpg             	(경유)                     	0.9977
./temp\10.jpg            	제목                       	0.9981
./temp\11.jpg            	건축물의                     	0.9990
./temp\12.jpg            	건축(증축)허가                 	0.9687
./temp\13.jpg            	사항                       	0.9986
