--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
./temp\0.jpg             	전자문서                     	0.9978
./temp\1.jpg             	유통증명서                    	0.9921
./temp\2.jpg             	발급번호                     	0.9513
./temp\3.jpg             	2012-0705-000-0234490101 	0.0003
./temp\4.jpg             	증명서                      	0.8896
./temp\5.jpg             	유                        	0.9997
./temp\6.jpg             	형                        	0.9873
./temp\7.jpg             	열람증명                     	0.7740
./temp\8.jpg             	공인전자주소                   	0.9959
./temp\9.jpg             	홍김동,개발팀 (주)              	0.0156
./temp\10.jpg            	전자문서,법인                  	0.9262
./temp\11.jpg            	송신자                      	0.9859
./temp\12.jpg            	주소등록자                    	0.2678
./temp\13.jpg            	등록자                      	0.9581
./temp\14.jpg            	전자문서주식회사                 	0.5740
./temp\15.jpg            	사업자물성번호:123-377-45       	0.0046
./temp\16.jpg            	공인전자주소                   	0.9956
./temp\17.jpg            	금용거래국운전사,개               	0.0376
./temp\18.jpg            	수신자                      	0.9995
./temp\19.jpg            	주소등록자                    	0.9624
./temp\20.jpg            	등록자:윤전사                  	0.1358
./temp\21.jpg            	송신일시                     	0.9635
./temp\22.jpg            	2012,07.23               	0.6613
./temp\23.jpg            	09:34:28                 	0.7191
./temp\24.jpg            	송수신                      	0.9808
./temp\25.jpg            	일시                       	0.7958
./temp\26.jpg            	수신일시                     	0.9639
./temp\27.jpg            	2012,07.23               	0.7813
./temp\28.jpg            	09:34:29                 	0.8045
./temp\29.jpg            	열람일시                     	0.9203
./temp\30.jpg            	2012,07.23               	0.7102
./temp\31.jpg            	13:45:26                 	0.9098
./temp\32.jpg            	제                        	0.9996
./temp\33.jpg            	목                        	0.9992
./temp\34.jpg            	전자문서                     	0.9982
./temp\35.jpg            	유등                       	0.5947
./temp\36.jpg            	모텔                       	0.1587
./temp\37.jpg            	협조요청                     	0.0297
./temp\38.jpg            	(본문정보갑)                  	0.7361
./temp\39.jpg            	업종별                      	0.9907
./temp\40.jpg            	문서                       	0.9986
./temp\41.jpg            	발생량                      	0.9469
./temp\42.jpg            	자료.pdf                   	0.3713
./temp\43.jpg            	송수신                      	0.9836
./temp\44.jpg            	내 용                      	0.9109
./temp\45.jpg            	첨부파일                     	0.5847
./temp\46.jpg            	유등모밀                     	0.1369
./temp\47.jpg            	,hww                     	0.1015
./temp\48.jpg            	(따일정보갑)                  	0.4216
./temp\49.jpg            	중명서유효기간                  	0.2706
./temp\50.jpg            	2012.07.23~2012.10.2     	0.5784
./temp\51.jpg            	본                        	0.9988
./temp\52.jpg            	증명서는                     	0.9952
./temp\53.jpg            	전자문서                     	0.9981
./temp\54.jpg            	및                        	0.9997
./temp\55.jpg            	전자거래                     	0.9933
